
2000, 134, 134, 134, 134, 134, 134, 135, 134, 136, 135, 134, 136, 136, 134, 151, 136, 134, 136, 136, 135, 136, 137, 135, 135, 136, 137, 138, 132, 151, 135, 
4000, 197, 199, 197, 198, 191, 197, 200, 198, 193, 187, 198, 199, 196, 192, 197, 197, 200, 198, 176, 195, 194, 199, 197, 200, 198, 199, 199, 199, 192, 195, 
6000, 258, 259, 258, 253, 259, 262, 253, 250, 261, 260, 263, 261, 261, 241, 255, 258, 255, 261, 258, 262, 250, 252, 254, 253, 255, 252, 259, 259, 255, 253, 
8000, 322, 313, 322, 320, 309, 324, 319, 317, 311, 325, 320, 321, 310, 320, 307, 310, 319, 318, 320, 321, 338, 325, 310, 321, 320, 325, 311, 308, 320, 321, 
10000, 380, 370, 368, 367, 381, 383, 383, 383, 373, 383, 387, 371, 369, 367, 369, 368, 365, 382, 366, 366, 385, 384, 384, 370, 367, 385, 378, 370, 366, 386, 
12000, 443, 440, 443, 425, 444, 426, 425, 455, 444, 441, 440, 440, 428, 443, 445, 432, 426, 426, 443, 445, 446, 444, 423, 444, 437, 427, 442, 428, 427, 428, 
14000, 485, 488, 502, 480, 504, 486, 507, 505, 484, 506, 502, 505, 487, 480, 506, 507, 503, 485, 504, 522, 502, 523, 480, 503, 481, 485, 484, 508, 504, 482, 
16000, 566, 572, 567, 539, 568, 568, 549, 572, 570, 566, 546, 566, 565, 567, 542, 563, 546, 569, 568, 572, 563, 586, 546, 570, 543, 548, 542, 544, 544, 567, 
18000, 604, 627, 627, 626, 629, 600, 627, 629, 596, 630, 626, 602, 630, 630, 625, 631, 599, 626, 627, 647, 632, 627, 631, 631, 604, 607, 638, 602, 632, 632, 
20000, 688, 656, 691, 690, 695, 648, 694, 690, 661, 688, 657, 689, 663, 696, 686, 687, 655, 689, 689, 668, 698, 690, 688, 656, 659, 662, 684, 689, 654, 690, 
